userID, numTrainQuestions, numRecQuestions, avgTimePerQuestion, totalInteractionTime, queryDensity, queryDensity (per preference messages), queryEfficiency, queryEfficiency (training), avgSessionTime, convLength, disambiguatioRatio, skipRatio, likeRatio, dislikeRatio, fallbackRatio, avgSystemResponseTime
572930266,0,1,7000.0,78000,0.6666666666666666,0.8571428571428571,0.0,0.0,78000.0,9,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,1333.3333333333333
5290206887,2,7,13777.0,303000,0.4782608695652174,0.7857142857142857,0.14285714285714285,0.16666666666666666,303000.0,23,0.08695652173913043,0.0,0.30434782608695654,0.17391304347826086,0.08695652173913043,1304.3478260869565
5048613175,0,1,10000.0,148000,0.75,1.0,0.0,0.0,148000.0,8,0.0,0.0,0.75,0.0,0.0,1375.0
635237620,6,6,3444833.0,1015490000,0.4375,0.7954545454545454,0.0,0.0,1.01549E9,80,0.0,0.05,0.3875,0.1625,0.0125,1225.0
5155827219,1,2,18333.0,1360000,0.3793103448275862,0.6470588235294118,0.0,0.0,1360000.0,29,0.0,0.0,0.3103448275862069,0.1724137931034483,0.06896551724137931,2310.344827586207
465412970,2,1,10000.0,199000,0.5454545454545454,0.75,0.25,0.2857142857142857,199000.0,11,0.18181818181818182,0.0,0.45454545454545453,0.09090909090909091,0.09090909090909091,1272.7272727272727
1009458424,0,1,16000.0,218000,0.75,1.0,0.0,0.0,218000.0,8,0.0,0.0,0.625,0.125,0.0,1000.0
19371450,0,0,0.0,26000,0.0,0.0,0.0,0.0,26000.0,2,0.0,0.0,0.0,0.0,0.0,500.0
176428234,0,3,24000.0,276000,0.6,1.0,0.0,0.0,276000.0,10,0.0,0.0,0.6,0.0,0.0,1400.0
75986460,1,2,14666.0,217000,0.6,0.8181818181818182,0.09090909090909091,0.1111111111111111,217000.0,15,0.06666666666666667,0.0,0.5333333333333333,0.06666666666666667,0.06666666666666667,1600.0
589599039,0,2,18000.0,206000,0.6428571428571429,0.8181818181818182,0.0,0.0,206000.0,14,0.0,0.0,0.5714285714285714,0.07142857142857142,0.0,1428.5714285714287
817428462,0,1,9000.0,75000,0.6666666666666666,0.8571428571428571,0.0,0.0,75000.0,9,0.0,0.0,0.4444444444444444,0.2222222222222222,0.0,888.8888888888889
612441425,1,1,12000.0,158000,0.6,0.8571428571428571,0.14285714285714285,0.16666666666666666,158000.0,10,0.1,0.0,0.3,0.3,0.1,900.0
1094695768,1,2,10666.0,336000,0.5833333333333334,1.0,0.0,0.0,336000.0,24,0.0,0.041666666666666664,0.3333333333333333,0.25,0.0,1041.6666666666667
5035128320,0,1,3000.0,85000,0.6,0.75,0.0,0.0,85000.0,10,0.0,0.0,0.5,0.1,0.0,1100.0
1811927548,0,3,10666.0,132000,0.6923076923076923,1.0,0.0,0.0,132000.0,13,0.0,0.0,0.5384615384615384,0.15384615384615385,0.0,1230.7692307692307
626533929,16,16,15218.0,1288768000,0.38461538461538464,0.6716417910447762,0.07462686567164178,0.07936507936507936,1.288768E9,117,0.042735042735042736,0.008547008547008548,0.39316239316239315,0.1623931623931624,0.042735042735042736,1264.957264957265
604958593,0,1,13000.0,169000,0.6,0.75,0.0,0.0,169000.0,10,0.0,0.0,0.4,0.2,0.0,1200.0
654505150,0,1,21000.0,271000,0.75,1.0,0.0,0.0,271000.0,8,0.0,0.0,0.75,0.0,0.0,1250.0
1018325079,0,1,4000.0,64000,0.75,1.0,0.0,0.0,64000.0,8,0.0,0.0,0.75,0.0,0.0,1250.0
496008829,0,1,7000.0,212000,0.6,0.75,0.0,0.0,212000.0,10,0.0,0.0,0.6,0.0,0.0,1200.0
299939018,6,14,463900.0,2513273000,0.3014705882352941,0.4939759036144578,0.012048192771084338,0.0136986301369863,2.513273E9,136,0.007352941176470588,0.0,0.3897058823529412,0.09558823529411764,0.03676470588235294,3323.529411764706
828206800,0,1,11000.0,155000,0.6666666666666666,0.8571428571428571,0.0,0.0,155000.0,9,0.0,0.0,0.4444444444444444,0.2222222222222222,0.0,1111.111111111111
